COMM,Source,Destination,TotValue
wht,ury,pri,1.92E-05
gro,ury,pri,8.31E-06
osd,ury,pri,0.11726407
pdr,ven,pri,3.50E-08
wht,ven,pri,1.14E-05
gro,ven,pri,2.14E-05
osd,ven,pri,1.22E-06
pdr,xsm,pri,3.36E-08
wht,xsm,pri,0.004076626
gro,xsm,pri,0.004356404
osd,xsm,pri,0.008304738
pdr,cri,pri,1.79E-07
wht,cri,pri,3.56E-06
gro,cri,pri,2.02E-06
osd,cri,pri,0.002333295
pdr,gtm,pri,1.28E-07
wht,gtm,pri,8.40E-06
gro,gtm,pri,0.000533042
osd,gtm,pri,0.066410333
pdr,hnd,pri,1.80E-06
wht,hnd,pri,1.96E-06
gro,hnd,pri,0.000166256
osd,hnd,pri,0.004208068
pdr,nic,pri,8.32E-07
wht,nic,pri,8.45E-07
gro,nic,pri,6.91E-05
osd,nic,pri,0.012327855
pdr,pan,pri,1.75E-07
wht,pan,pri,3.28E-06
gro,pan,pri,1.24E-05
osd,pan,pri,3.69E-07
pdr,slv,pri,2.63E-08
wht,slv,pri,1.63E-06
gro,slv,pri,0.000115521
osd,slv,pri,0.001270985
pdr,xca,pri,3.28E-09
wht,xca,pri,2.16E-07
gro,xca,pri,1.37E-05
osd,xca,pri,3.32E-06
pdr,dom,pri,1.00E-07
wht,dom,pri,3.78E-06
gro,dom,pri,4.56E-06
osd,dom,pri,1.62E-05
pdr,hti,pri,1.10E-07
wht,hti,pri,1.38E-06
gro,hti,pri,9.29E-05
osd,hti,pri,2.40E-07
pdr,jam,pri,1.80E-08
wht,jam,pri,9.66E-07
gro,jam,pri,2.18E-05
osd,jam,pri,2.61E-06
pdr,pri,pri,50.37585221
wht,pri,pri,32.44114461
gro,pri,pri,47.05764564
osd,pri,pri,32.63125293
pdr,tto,pri,6.58E-09
wht,tto,pri,8.89E-07
gro,tto,pri,7.78E-07
osd,tto,pri,5.61E-07
pdr,xcb,pri,1.54E-07
wht,xcb,pri,0.002844997
gro,xcb,pri,0.003035613
osd,xcb,pri,0.007159506
pdr,aut,pri,3.91E-07
wht,aut,pri,3.35E-05
gro,aut,pri,0.005437954
osd,aut,pri,0.001259458
pdr,bel,pri,5.35E-07
wht,bel,pri,6.31E-05
gro,bel,pri,1.76E-05
osd,bel,pri,0.001973082
pdr,bgr,pri,2.54E-07
wht,bgr,pri,5.13E-05
gro,bgr,pri,6.07E-05
osd,bgr,pri,0.117799327
pdr,hrv,pri,3.97E-08
wht,hrv,pri,1.77E-05
gro,hrv,pri,2.16E-05
osd,hrv,pri,1.24E-05
pdr,cyp,pri,2.14E-08
wht,cyp,pri,2.12E-06
gro,cyp,pri,2.34E-05
osd,cyp,pri,9.38E-07
pdr,cze,pri,2.18E-07
wht,cze,pri,0.000283315
gro,cze,pri,0.000182351
osd,cze,pri,1.05E-05
pdr,dnk,pri,3.62E-07
wht,dnk,pri,0.000281589
gro,dnk,pri,0.000122924
osd,dnk,pri,1.84E-05
pdr,est,pri,3.27E-08
wht,est,pri,1.34E-05
gro,est,pri,1.01E-05
osd,est,pri,1.86E-06
pdr,fin,pri,3.12E-07
wht,fin,pri,0.001092644
gro,fin,pri,0.027750079
osd,fin,pri,0.002021859
pdr,fra,pri,3.15E-06
wht,fra,pri,0.035685033
gro,fra,pri,0.064607032
osd,fra,pri,0.089222208
pdr,deu,pri,4.02E-06
wht,deu,pri,0.002141
gro,deu,pri,0.102721088
osd,deu,pri,0.017224357
pdr,grc,pri,4.32E-07
wht,grc,pri,0.000161614
gro,grc,pri,3.44E-05
osd,grc,pri,0.001817519
pdr,hun,pri,2.43E-07
wht,hun,pri,0.000154375
gro,hun,pri,3.13E-05
osd,hun,pri,2.79E-05
pdr,irl,pri,3.10E-07
wht,irl,pri,8.90E-05
gro,irl,pri,3.44E-05
osd,irl,pri,0.000578759
pdr,ita,pri,1.31E-05
wht,ita,pri,0.0043823
gro,ita,pri,0.003165148
osd,ita,pri,0.00291615
pdr,lva,pri,4.07E-08
wht,lva,pri,4.02E-06
gro,lva,pri,1.78E-05
osd,lva,pri,3.31E-06
pdr,ltu,pri,5.63E-08
wht,ltu,pri,5.81E-05
gro,ltu,pri,2.39E-05
osd,ltu,pri,6.06E-05
pdr,lux,pri,7.85E-08
wht,lux,pri,5.34E-06
gro,lux,pri,3.33E-06
osd,lux,pri,2.04E-07
pdr,mlt,pri,1.10E-08
wht,mlt,pri,5.16E-06
gro,mlt,pri,8.04E-07
osd,mlt,pri,3.01E-08
pdr,nld,pri,8.93E-07
wht,nld,pri,6.84E-05
gro,nld,pri,0.001827754
osd,nld,pri,0.007766196
pdr,pol,pri,6.02E-07
wht,pol,pri,0.000912624
gro,pol,pri,0.001973765
osd,pol,pri,0.000905326
pdr,prt,pri,1.19E-06
wht,prt,pri,1.75E-05
gro,prt,pri,2.78E-05
osd,prt,pri,6.23E-05
pdr,rou,pri,1.20E-06
wht,rou,pri,0.000242116
gro,rou,pri,0.054420438
osd,rou,pri,0.004370254
pdr,svk,pri,1.04E-07
wht,svk,pri,7.20E-05
gro,svk,pri,7.08E-05
osd,svk,pri,4.60E-06
pdr,svn,pri,5.37E-08
wht,svn,pri,1.14E-05
gro,svn,pri,1.34E-06
osd,svn,pri,3.89E-07
pdr,esp,pri,4.45E-06
wht,esp,pri,0.000385396
gro,esp,pri,0.001503809
osd,esp,pri,0.030139251
pdr,swe,pri,5.97E-07
wht,swe,pri,0.000303556
gro,swe,pri,0.061568711
osd,swe,pri,2.01E-05
pdr,gbr,pri,2.71E-06
wht,gbr,pri,0.003821773
gro,gbr,pri,0.000169918
osd,gbr,pri,0.007457153
pdr,che,pri,7.40E-07
wht,che,pri,6.52E-05
gro,che,pri,0.008912972
osd,che,pri,0.003649723
pdr,nor,pri,4.76E-07
wht,nor,pri,5.26E-05
gro,nor,pri,0.000198611
osd,nor,pri,5.94E-06
pdr,xef,pri,3.17E-08
wht,xef,pri,0.004849522
gro,xef,pri,0.005170306
osd,xef,pri,0.009871274
pdr,alb,pri,1.30E-08
wht,alb,pri,2.42E-05
gro,alb,pri,8.48E-06
osd,alb,pri,5.41E-05
pdr,srb,pri,2.45E-07
wht,srb,pri,0.000212532
gro,srb,pri,0.00019927
osd,srb,pri,3.96E-06
pdr,blr,pri,2.59E-06
wht,blr,pri,5.11E-05
gro,blr,pri,3.74E-05
osd,blr,pri,1.91E-05
pdr,rus,pri,3.72E-06
wht,rus,pri,0.002352691
gro,rus,pri,0.013203586
osd,rus,pri,0.026502831
pdr,ukr,pri,3.52E-07
wht,ukr,pri,0.000130363
gro,ukr,pri,0.000917819
osd,ukr,pri,0.150094539
pdr,xee,pri,3.04E-08
wht,xee,pri,1.12E-05
gro,xee,pri,5.55E-06
osd,xee,pri,1.07E-06
pdr,xer,pri,2.85E-07
wht,xer,pri,0.017487949
gro,xer,pri,0.018634293
osd,xer,pri,0.035296313
pdr,kaz,pri,1.60E-06
wht,kaz,pri,0.000751421
gro,kaz,pri,0.000307614
osd,kaz,pri,0.088649906
pdr,kgz,pri,4.05E-07
wht,kgz,pri,1.42E-05
gro,kgz,pri,0.000108992
osd,kgz,pri,1.07E-07
pdr,tjk,pri,2.79E-07
wht,tjk,pri,7.81E-05
gro,tjk,pri,3.58E-05
osd,tjk,pri,4.61E-05
pdr,uzb,pri,1.96E-06
wht,uzb,pri,9.10E-05
gro,uzb,pri,0.000180643
osd,uzb,pri,0.000418728
pdr,xsu,pri,3.73E-07
wht,xsu,pri,0.000175136
gro,xsu,pri,7.17E-05
osd,xsu,pri,8.94E-07
pdr,arm,pri,1.08E-07
wht,arm,pri,1.48E-05
gro,arm,pri,8.49E-05
osd,arm,pri,5.15E-06
pdr,aze,pri,6.39E-06
wht,aze,pri,0.000295549
gro,aze,pri,0.000157696
osd,aze,pri,1.13E-05
pdr,geo,pri,1.36E-08
wht,geo,pri,5.54E-06
gro,geo,pri,4.34E-05
osd,geo,pri,2.64E-08
pdr,bhr,pri,3.17E-06
wht,bhr,pri,2.16E-06
gro,bhr,pri,7.83E-06
osd,bhr,pri,4.77E-08
pdr,irn,pri,0.000689345
wht,irn,pri,0.005115368
gro,irn,pri,0.001523793
osd,irn,pri,0.000185106
pdr,irq,pri,1.19E-05
wht,irq,pri,8.29E-07
gro,irq,pri,3.02E-06
osd,irq,pri,8.89E-08
pdr,isr,pri,4.10E-07
wht,isr,pri,2.41E-05
gro,isr,pri,0.000672304
osd,isr,pri,0.043441743
pdr,jor,pri,4.47E-08
wht,jor,pri,5.01E-06
gro,jor,pri,4.70E-05
osd,jor,pri,0.000965021
pdr,kwt,pri,8.96E-08
wht,kwt,pri,4.76E-06
gro,kwt,pri,3.42E-06
osd,kwt,pri,1.24E-07
pdr,lbn,pri,6.35E-08
wht,lbn,pri,8.91E-06
gro,lbn,pri,2.70E-06
osd,lbn,pri,0.001425797
pdr,omn,pri,3.25E-07
wht,omn,pri,2.83E-06
gro,omn,pri,1.92E-05
osd,omn,pri,3.93E-08
pdr,pse,pri,3.19E-08
wht,pse,pri,1.41E-05
gro,pse,pri,3.06E-06
osd,pse,pri,8.61E-05
pdr,qat,pri,1.59E-05
wht,qat,pri,1.02E-05
gro,qat,pri,2.17E-05
osd,qat,pri,1.98E-07
pdr,sau,pri,5.06E-07
wht,sau,pri,0.000776684
gro,sau,pri,0.000327765
osd,sau,pri,2.06E-06
pdr,syr,pri,3.66E-08
wht,syr,pri,0.000111579
gro,syr,pri,8.19E-06
osd,syr,pri,2.01E-05
pdr,tur,pri,3.44E-06
wht,tur,pri,0.001279138
gro,tur,pri,0.476206064
osd,tur,pri,0.522862673
pdr,are,pri,2.13E-07
wht,are,pri,1.68E-05
gro,are,pri,8.45E-06
osd,are,pri,2.62E-07
pdr,xws,pri,4.65E-08
wht,xws,pri,0.000141615
gro,xws,pri,1.04E-05
osd,xws,pri,2.55E-05
pdr,dza,pri,2.12E-07
wht,dza,pri,0.000459091
gro,dza,pri,0.000198862
osd,dza,pri,2.63E-06
pdr,egy,pri,5.68E-05
wht,egy,pri,0.000341903
gro,egy,pri,8.59E-05
osd,egy,pri,5.67E-05
pdr,mar,pri,6.74E-06
wht,mar,pri,0.001245456
gro,mar,pri,0.000438778
osd,mar,pri,0.000301038
pdr,tun,pri,5.28E-08
wht,tun,pri,5.78E-06
gro,tun,pri,2.02E-05
osd,tun,pri,2.23E-07
pdr,xnf,pri,4.05E-07
wht,xnf,pri,0.000182037
gro,xnf,pri,7.85E-05
osd,xnf,pri,1.35E-06
pdr,ben,pri,6.18E-07
wht,ben,pri,1.04E-06
gro,ben,pri,0.000328165
osd,ben,pri,4.50E-05
pdr,bfa,pri,0.000124953
wht,bfa,pri,1.66E-06
gro,bfa,pri,0.001232804
osd,bfa,pri,2.75E-06
pdr,cmr,pri,3.70E-06
wht,cmr,pri,1.89E-06
gro,cmr,pri,0.000773014
osd,cmr,pri,2.29E-05
pdr,civ,pri,0.000911577
wht,civ,pri,0.000114196
gro,civ,pri,0.000263807
osd,civ,pri,0.001757831
pdr,gha,pri,0.000203333
wht,gha,pri,6.08E-06
gro,gha,pri,0.000881617
osd,gha,pri,0.001647895
pdr,gin,pri,0.001549518
wht,gin,pri,3.83E-06
gro,gin,pri,0.000853
osd,gin,pri,0.000782898
pdr,mli,pri,5.33E-05
wht,mli,pri,1.57E-05
gro,mli,pri,0.001454976
osd,mli,pri,7.82E-05
pdr,ner,pri,7.64E-05
wht,ner,pri,3.86E-06
gro,ner,pri,0.002749612
osd,ner,pri,0.000247016
pdr,nga,pri,0.002717001
wht,nga,pri,7.00E-05
gro,nga,pri,0.005050268
osd,nga,pri,0.010949013
pdr,sen,pri,1.13E-06
wht,sen,pri,1.67E-06
gro,sen,pri,0.000229573
osd,sen,pri,7.18E-05
pdr,tgo,pri,2.86E-07
wht,tgo,pri,2.75E-07
gro,tgo,pri,0.000157279
osd,tgo,pri,0.001636723
pdr,xwf,pri,9.89E-05
wht,xwf,pri,7.93E-06
gro,xwf,pri,0.001651852
osd,xwf,pri,0.000155728
pdr,caf,pri,2.85E-05
wht,caf,pri,5.39E-05
gro,caf,pri,5.09E-05
osd,caf,pri,0.000242645
pdr,tcd,pri,0.000197922
wht,tcd,pri,0.00010541
gro,tcd,pri,0.000857295
osd,tcd,pri,0.00074868
pdr,cog,pri,9.68E-08
wht,cog,pri,3.99E-06
gro,cog,pri,7.56E-05
osd,cog,pri,0.00028494
pdr,cod,pri,3.55E-05
wht,cod,pri,4.89E-06
gro,cod,pri,0.000519607
osd,cod,pri,0.00040401
pdr,gnq,pri,1.73E-05
wht,gnq,pri,4.26E-06
gro,gnq,pri,1.54E-05
osd,gnq,pri,9.60E-07
pdr,gab,pri,5.95E-08
wht,gab,pri,8.71E-07
gro,gab,pri,3.24E-05
osd,gab,pri,1.44E-05
pdr,xac,pri,6.05E-07
wht,xac,pri,2.49E-05
gro,xac,pri,0.000472694
osd,xac,pri,0.0017811
pdr,com,pri,1.78E-06
wht,com,pri,5.62E-08
gro,com,pri,1.24E-06
osd,com,pri,1.71E-07
pdr,eth,pri,6.60E-06
wht,eth,pri,0.001805491
gro,eth,pri,0.007173995
osd,eth,pri,0.110033549
pdr,ken,pri,5.74E-06
wht,ken,pri,5.81E-05
gro,ken,pri,0.002737323
osd,ken,pri,0.001340755
pdr,mdg,pri,3.86E-09
wht,mdg,pri,1.53E-06
gro,mdg,pri,5.70E-06
osd,mdg,pri,2.68E-05
pdr,mwi,pri,0.000142089
wht,mwi,pri,7.70E-07
gro,mwi,pri,0.000285828
osd,mwi,pri,0.00065055
pdr,mus,pri,1.09E-08
wht,mus,pri,7.75E-07
gro,mus,pri,4.08E-07
osd,mus,pri,1.49E-07
pdr,moz,pri,5.88E-05
wht,moz,pri,5.19E-06
gro,moz,pri,0.000662208
osd,moz,pri,0.000116505
pdr,rwa,pri,0.000103381
wht,rwa,pri,6.75E-06
gro,rwa,pri,0.000275151
osd,rwa,pri,0.000160283
pdr,sdn,pri,3.99E-07
wht,sdn,pri,7.71E-05
gro,sdn,pri,0.001043137
osd,sdn,pri,0.000678443
pdr,tza,pri,0.000630699
wht,tza,pri,8.97E-05
gro,tza,pri,0.00230727
osd,tza,pri,0.003156894
pdr,uga,pri,2.12E-05
wht,uga,pri,3.02E-06
gro,uga,pri,7.62E-05
osd,uga,pri,0.003545407
pdr,zmb,pri,1.81E-07
wht,zmb,pri,6.00E-06
gro,zmb,pri,0.000431282
osd,zmb,pri,0.000174531
pdr,zwe,pri,5.41E-08
wht,zwe,pri,1.70E-05
gro,zwe,pri,0.000336341
osd,zwe,pri,8.41E-05
pdr,xec,pri,2.59E-05
wht,xec,pri,0.002412373
gro,xec,pri,0.002908834
osd,xec,pri,0.004992145
pdr,bwa,pri,1.57E-08
wht,bwa,pri,9.76E-07
gro,bwa,pri,1.72E-05
osd,bwa,pri,1.40E-07
pdr,swz,pri,8.61E-08
wht,swz,pri,3.88E-07
gro,swz,pri,2.57E-05
osd,swz,pri,1.00E-08
pdr,nam,pri,1.98E-08
wht,nam,pri,1.58E-06
gro,nam,pri,3.35E-05
osd,nam,pri,4.02E-08
pdr,zaf,pri,4.37E-07
wht,zaf,pri,9.33E-05
gro,zaf,pri,0.009466249
osd,zaf,pri,0.001128818
pdr,xsc,pri,4.51E-08
wht,xsc,pri,2.03E-07
gro,xsc,pri,1.35E-05
osd,xsc,pri,5.24E-09
pdr,xtw,pri,1.11E-10
wht,xtw,pri,9.70E-09
gro,xtw,pri,2.29E-08
osd,xtw,pri,7.25E-10
pdr,aus,tto,7.64E-09
wht,aus,tto,2.33E-07
gro,aus,tto,3.43E-07
osd,aus,tto,1.28E-08
pdr,nzl,tto,2.19E-09
wht,nzl,tto,1.49E-07
gro,nzl,tto,4.56E-07
osd,nzl,tto,6.49E-09
pdr,xoc,tto,3.32E-09
wht,xoc,tto,2.25E-07
gro,xoc,tto,6.89E-07
osd,xoc,tto,9.81E-09
pdr,chn,tto,3.69E-05
wht,chn,tto,1.05E-05
gro,chn,tto,0.0082667
osd,chn,tto,0.900181532
pdr,hkg,tto,1.76E-08
wht,hkg,tto,4.53E-07
gro,hkg,tto,2.34E-07
osd,hkg,tto,9.37E-09
pdr,jpn,tto,2.10E-08
wht,jpn,tto,1.71E-07
gro,jpn,tto,1.15E-07
osd,jpn,tto,2.88E-08
pdr,kor,tto,3.30E-08
wht,kor,tto,3.09E-07
gro,kor,tto,2.01E-07
osd,kor,tto,4.45E-07
pdr,mng,tto,2.10E-12
wht,mng,tto,3.02E-10
gro,mng,tto,1.38E-10
osd,mng,tto,1.30E-12
pdr,twn,tto,6.97E-08
wht,twn,tto,3.50E-06
gro,twn,tto,1.41E-05
osd,twn,tto,7.07E-06
pdr,xea,tto,1.43E-08
wht,xea,tto,4.75E-07
gro,xea,tto,2.37E-07
osd,xea,tto,7.66E-09
pdr,brn,tto,2.48E-10
wht,brn,tto,1.32E-09
gro,brn,tto,6.31E-10
osd,brn,tto,2.44E-10
pdr,khm,tto,1.16E-06
wht,khm,tto,1.17E-08
gro,khm,tto,2.20E-07
osd,khm,tto,8.02E-07
pdr,idn,tto,3.21E-07
wht,idn,tto,3.98E-07
gro,idn,tto,2.54E-05
osd,idn,tto,7.58E-06
pdr,lao,tto,4.08E-13
wht,lao,tto,6.03E-16
gro,lao,tto,9.77E-14
osd,lao,tto,2.90E-15
pdr,mys,tto,6.19E-09
wht,mys,tto,6.33E-08
gro,mys,tto,4.00E-08
osd,mys,tto,1.49E-08
pdr,phl,tto,2.45E-09
wht,phl,tto,1.99E-10
gro,phl,tto,1.65E-09
osd,phl,tto,2.48E-09
pdr,sgp,tto,4.07E-09
wht,sgp,tto,2.16E-07
gro,sgp,tto,1.10E-07
osd,sgp,tto,1.55E-08
pdr,tha,tto,8.74E-09
wht,tha,tto,6.24E-08
gro,tha,tto,1.15E-07
osd,tha,tto,2.60E-08
pdr,vnm,tto,7.08E-07
wht,vnm,tto,3.69E-08
gro,vnm,tto,2.26E-07
osd,vnm,tto,5.31E-07
pdr,xse,tto,2.32E-06
wht,xse,tto,2.35E-08
gro,xse,tto,4.39E-07
osd,xse,tto,1.60E-06
pdr,afg,tto,8.16E-08
wht,afg,tto,0.000106596
gro,afg,tto,3.71E-05
osd,afg,tto,1.45E-07
pdr,bgd,tto,2.97E-17
wht,bgd,tto,2.46E-15
gro,bgd,tto,5.91E-15
osd,bgd,tto,1.37E-14
pdr,ind,tto,9.37E-05
wht,ind,tto,6.51E-05
gro,ind,tto,3.42E-05
osd,ind,tto,0.069994777
pdr,npl,tto,1.36E-09
wht,npl,tto,1.24E-09
gro,npl,tto,1.79E-09
osd,npl,tto,5.24E-10
pdr,pak,tto,6.21E-12
wht,pak,tto,9.99E-11
gro,pak,tto,4.56E-11
osd,pak,tto,4.73E-11
pdr,lka,tto,1.57E-14
wht,lka,tto,1.81E-15
gro,lka,tto,7.13E-15
osd,lka,tto,2.84E-13
pdr,xsa,tto,1.39E-08
wht,xsa,tto,7.97E-08
gro,xsa,tto,2.51E-08
osd,xsa,tto,6.10E-08
pdr,can,tto,1.88E-08
wht,can,tto,3.84E-06
gro,can,tto,0.255829245
osd,can,tto,0.136936426
pdr,usa,tto,0.00335234
wht,usa,tto,33.6455307
gro,usa,tto,17.55031776
osd,usa,tto,8.872394562
pdr,mex,tto,1.10E-09
wht,mex,tto,1.41E-07
gro,mex,tto,9.64E-07
osd,mex,tto,8.47E-09
pdr,xna,tto,4.27E-09
wht,xna,tto,3.84E-07
gro,xna,tto,2.66E-07
osd,xna,tto,7.49E-08
pdr,arg,tto,3.94E-09
wht,arg,tto,1.66E-07
gro,arg,tto,0.136927232
osd,arg,tto,0.644824982
pdr,bol,tto,7.92E-10
wht,bol,tto,9.61E-08
gro,bol,tto,0.002460834
osd,bol,tto,1.18E-07
pdr,bra,tto,1.16E-06
wht,bra,tto,2.09E-06
gro,bra,tto,0.286094844
osd,bra,tto,0.060871787
pdr,chl,tto,9.29E-10
wht,chl,tto,7.88E-08
gro,chl,tto,1.14E-07
osd,chl,tto,9.35E-10
pdr,col,tto,8.43E-14
wht,col,tto,5.95E-14
gro,col,tto,5.40E-13
osd,col,tto,3.25E-14
pdr,ecu,tto,3.12E-09
wht,ecu,tto,5.88E-08
gro,ecu,tto,1.34E-06
osd,ecu,tto,2.07E-08
pdr,pry,tto,4.35E-17
wht,pry,tto,1.18E-14
gro,pry,tto,3.99E-14
osd,pry,tto,7.73E-16
pdr,per,tto,1.25E-15
wht,per,tto,5.85E-14
gro,per,tto,1.44E-13
osd,per,tto,3.95E-15
pdr,ury,tto,3.18E-09
wht,ury,tto,3.44E-07
gro,ury,tto,1.49E-07
osd,ury,tto,0.018921543
pdr,ven,tto,3.86E-10
wht,ven,tto,1.26E-07
gro,ven,tto,2.35E-07
osd,ven,tto,1.34E-08
pdr,xsm,tto,0.060995005
wht,xsm,tto,1.96E-07
gro,xsm,tto,8.74E-07
osd,xsm,tto,0.108273029
pdr,cri,tto,1.11E-08
wht,cri,tto,2.21E-07
gro,cri,tto,1.25E-07
osd,cri,tto,6.33E-08
pdr,gtm,tto,4.25E-09
wht,gtm,tto,2.80E-07
gro,gtm,tto,0.021690762
osd,gtm,tto,4.30E-06
pdr,hnd,tto,9.37E-08
wht,hnd,tto,1.02E-07
gro,hnd,tto,8.65E-06
osd,hnd,tto,1.29E-08
pdr,nic,tto,3.85E-10
wht,nic,tto,3.91E-10
gro,nic,tto,3.20E-08
osd,nic,tto,2.24E-10
pdr,pan,tto,1.69E-09
wht,pan,tto,3.17E-08
gro,pan,tto,1.19E-07
osd,pan,tto,3.56E-09
pdr,slv,tto,8.11E-11
wht,slv,tto,5.03E-09
gro,slv,tto,3.57E-07
osd,slv,tto,6.26E-09
pdr,xca,tto,1.78E-10
wht,xca,tto,1.17E-08
gro,xca,tto,0.05213074
osd,xca,tto,0.00354418
pdr,dom,tto,5.40E-11
wht,dom,tto,2.04E-09
gro,dom,tto,2.46E-09
osd,dom,tto,8.75E-09
pdr,hti,tto,4.41E-16
wht,hti,tto,5.53E-15
gro,hti,tto,3.71E-13
osd,hti,tto,9.58E-16
pdr,jam,tto,8.95E-16
wht,jam,tto,4.82E-14
gro,jam,tto,1.09E-12
osd,jam,tto,1.30E-13
pdr,pri,tto,1.40E-08
wht,pri,tto,0.178674057
gro,pri,tto,0.095271721
osd,pri,tto,0.037061661
pdr,tto,tto,3.255087915
wht,tto,tto,1.661389842
gro,tto,tto,1.344491814
osd,tto,tto,16.02937398
pdr,xcb,tto,9.14E-08
wht,xcb,tto,4.07E-06
gro,xcb,tto,4.34E-06
osd,xcb,tto,0.047265556
pdr,aut,tto,1.40E-09
wht,aut,tto,1.20E-07
gro,aut,tto,1.96E-07
osd,aut,tto,4.80E-09
pdr,bel,tto,1.28E-09
wht,bel,tto,1.51E-07
gro,bel,tto,0.007589042
osd,bel,tto,3.15E-09
pdr,bgr,tto,2.23E-09
wht,bgr,tto,4.50E-07
gro,bgr,tto,5.33E-07
osd,bgr,tto,0.004118753
pdr,hrv,tto,9.45E-13
wht,hrv,tto,4.20E-10
gro,hrv,tto,5.13E-10
osd,hrv,tto,2.96E-10
pdr,cyp,tto,3.62E-12
wht,cyp,tto,3.59E-10
gro,cyp,tto,3.97E-09
osd,cyp,tto,1.59E-10
pdr,cze,tto,7.64E-10
wht,cze,tto,9.91E-07
gro,cze,tto,6.38E-07
osd,cze,tto,3.68E-08
pdr,dnk,tto,8.59E-10
wht,dnk,tto,6.69E-07
gro,dnk,tto,2.92E-07
osd,dnk,tto,4.38E-08
pdr,est,tto,4.77E-12
wht,est,tto,1.95E-09
gro,est,tto,1.47E-09
osd,est,tto,2.72E-10
pdr,fin,tto,2.44E-09
wht,fin,tto,8.12E-07
gro,fin,tto,7.17E-07
osd,fin,tto,5.06E-08
pdr,fra,tto,2.36E-08
wht,fra,tto,1.42E-05
gro,fra,tto,4.04E-06
osd,fra,tto,9.20E-07
pdr,deu,tto,1.00E-08
wht,deu,tto,5.34E-06
gro,deu,tto,1.96E-06
osd,deu,tto,8.70E-07
pdr,grc,tto,1.36E-09
wht,grc,tto,5.10E-07
gro,grc,tto,1.09E-07
osd,grc,tto,7.35E-07
pdr,hun,tto,7.25E-12
wht,hun,tto,4.60E-09
gro,hun,tto,9.32E-10
osd,hun,tto,8.32E-10
pdr,irl,tto,2.37E-09
wht,irl,tto,6.78E-07
gro,irl,tto,2.62E-07
osd,irl,tto,7.05E-08
pdr,ita,tto,3.86E-08
wht,ita,tto,3.28E-06
gro,ita,tto,8.66E-07
osd,ita,tto,2.02E-06
pdr,lva,tto,2.25E-12
wht,lva,tto,2.23E-10
gro,lva,tto,9.85E-10
osd,lva,tto,1.84E-10
pdr,ltu,tto,3.20E-12
wht,ltu,tto,3.31E-09
gro,ltu,tto,1.36E-09
osd,ltu,tto,3.45E-09
pdr,lux,tto,1.62E-08
wht,lux,tto,1.11E-06
gro,lux,tto,6.88E-07
osd,lux,tto,4.21E-08
pdr,mlt,tto,1.80E-11
wht,mlt,tto,8.49E-09
gro,mlt,tto,1.32E-09
osd,mlt,tto,4.95E-11
pdr,nld,tto,5.15E-08
wht,nld,tto,3.95E-06
gro,nld,tto,0.016489342
osd,nld,tto,0.001057088
pdr,pol,tto,5.95E-11
wht,pol,tto,9.03E-08
gro,pol,tto,0.001142034
osd,pol,tto,1.63E-08
pdr,prt,tto,7.37E-09
wht,prt,tto,1.08E-07
gro,prt,tto,1.72E-07
osd,prt,tto,3.85E-07
pdr,rou,tto,1.54E-08
wht,rou,tto,3.11E-06
gro,rou,tto,8.16E-06
osd,rou,tto,1.54E-07
pdr,svk,tto,3.22E-12
wht,svk,tto,2.23E-09
gro,svk,tto,2.20E-09
osd,svk,tto,1.43E-10
pdr,svn,tto,3.40E-11
wht,svn,tto,7.19E-09
gro,svn,tto,8.46E-10
osd,svn,tto,2.47E-10
pdr,esp,tto,9.24E-09
wht,esp,tto,8.01E-07
gro,esp,tto,3.82E-07
osd,esp,tto,0.001317418
pdr,swe,tto,3.43E-08
wht,swe,tto,1.75E-05
gro,swe,tto,6.90E-06
osd,swe,tto,1.15E-06
pdr,gbr,tto,5.40E-08
wht,gbr,tto,2.74E-05
gro,gbr,tto,0.019187381
osd,gbr,tto,1.13E-06
pdr,che,tto,7.39E-09
wht,che,tto,6.51E-07
gro,che,tto,6.08E-07
osd,che,tto,5.28E-07
pdr,nor,tto,5.69E-09
wht,nor,tto,6.29E-07
gro,nor,tto,2.37E-06
osd,nor,tto,7.10E-08
pdr,xef,tto,1.53E-09
wht,xef,tto,3.06E-07
gro,xef,tto,1.28E-07
osd,xef,tto,2.92E-08
pdr,alb,tto,1.07E-11
wht,alb,tto,2.00E-08
gro,alb,tto,7.01E-09
osd,alb,tto,4.47E-08
pdr,srb,tto,2.35E-13
wht,srb,tto,2.04E-10
gro,srb,tto,1.92E-10
osd,srb,tto,3.81E-12
pdr,blr,tto,9.80E-10
wht,blr,tto,1.93E-08
gro,blr,tto,1.41E-08
osd,blr,tto,7.23E-09
pdr,rus,tto,8.57E-10
wht,rus,tto,5.42E-07
gro,rus,tto,4.15E-08
osd,rus,tto,4.83E-09
pdr,ukr,tto,2.38E-10
wht,ukr,tto,8.82E-08
gro,ukr,tto,4.35E-08
osd,ukr,tto,0.001427109
pdr,xee,tto,2.98E-10
wht,xee,tto,1.10E-07
gro,xee,tto,5.44E-08
osd,xee,tto,1.05E-08
pdr,xer,tto,3.21E-08
wht,xer,tto,1.96E-05
gro,xer,tto,1.81E-05
osd,xer,tto,1.10E-06
pdr,kaz,tto,1.04E-10
wht,kaz,tto,4.90E-08
gro,kaz,tto,2.00E-08
osd,kaz,tto,2.50E-10
pdr,kgz,tto,9.20E-09
