COMM,Source,Destination,TotValue
osd,gtm,aus,0.000729657
pdr,hnd,aus,3.59E-05
wht,hnd,aus,3.91E-05
gro,hnd,aus,0.003318401
osd,hnd,aus,4.95E-06
pdr,nic,aus,2.18E-06
wht,nic,aus,2.21E-06
gro,nic,aus,0.000180875
osd,nic,aus,4.446518421
pdr,pan,aus,2.68E-07
wht,pan,aus,5.04E-06
gro,pan,aus,1.90E-05
osd,pan,aus,5.66E-07
pdr,slv,aus,4.84E-08
wht,slv,aus,3.00E-06
gro,slv,aus,0.000212687
osd,slv,aus,3.73E-06
pdr,xca,aus,3.57E-08
wht,xca,aus,2.35E-06
gro,xca,aus,0.000149037
osd,xca,aus,3.60E-05
pdr,dom,aus,1.15E-07
wht,dom,aus,4.35E-06
gro,dom,aus,5.23E-06
osd,dom,aus,1.86E-05
pdr,hti,aus,1.75E-10
wht,hti,aus,2.19E-09
gro,hti,aus,1.47E-07
osd,hti,aus,3.80E-10
pdr,jam,aus,3.07E-11
wht,jam,aus,1.65E-09
gro,jam,aus,3.74E-08
osd,jam,aus,4.47E-09
pdr,pri,aus,8.02E-07
wht,pri,aus,8.15E-05
gro,pri,aus,0.009147847
osd,pri,aus,0.033028096
pdr,tto,aus,2.73E-08
wht,tto,aus,3.70E-06
gro,tto,aus,3.23E-06
osd,tto,aus,2.33E-06
pdr,xcb,aus,4.53E-06
wht,xcb,aus,0.000201493
gro,xcb,aus,0.000215058
osd,xcb,aus,0.000671616
pdr,aut,aus,3.29E-06
wht,aut,aus,0.000282101
gro,aut,aus,0.000459168
osd,aut,aus,0.096950263
pdr,bel,aus,1.14E-06
wht,bel,aus,0.000134913
gro,bel,aus,3.76E-05
osd,bel,aus,2.81E-06
pdr,bgr,aus,2.88E-06
wht,bgr,aus,0.000580067
gro,bgr,aus,0.000686937
osd,bgr,aus,4.082638741
pdr,hrv,aus,1.86E-07
wht,hrv,aus,8.27E-05
gro,hrv,aus,0.000101017
osd,hrv,aus,5.82E-05
pdr,cyp,aus,4.55E-07
wht,cyp,aus,4.50E-05
gro,cyp,aus,0.000497976
osd,cyp,aus,1.99E-05
pdr,cze,aus,3.23E-06
wht,cze,aus,0.004191325
gro,cze,aus,0.00269767
osd,cze,aus,0.000155777
pdr,dnk,aus,1.53E-06
wht,dnk,aus,0.001194579
gro,dnk,aus,0.000521481
osd,dnk,aus,7.82E-05
pdr,est,aus,7.18E-07
wht,est,aus,0.000293013
gro,est,aus,0.000221114
osd,est,aus,4.09E-05
pdr,fin,aus,5.91E-06
wht,fin,aus,0.001964833
gro,fin,aus,0.001735191
osd,fin,aus,0.000122566
pdr,fra,aus,3.01E-05
wht,fra,aus,0.01813163
gro,fra,aus,0.006395895
osd,fra,aus,0.523940206
pdr,deu,aus,1.03E-05
wht,deu,aus,0.00547551
gro,deu,aus,0.002007247
osd,deu,aus,0.527985692
pdr,grc,aus,5.51E-06
wht,grc,aus,0.002059742
gro,grc,aus,0.000438968
osd,grc,aus,0.002967665
pdr,hun,aus,1.30E-06
wht,hun,aus,0.000821881
gro,hun,aus,0.000166542
osd,hun,aus,0.002124785
pdr,irl,aus,5.85E-06
wht,irl,aus,0.001676922
gro,irl,aus,0.000647742
osd,irl,aus,0.000174265
pdr,ita,aus,0.000225991
wht,ita,aus,0.024077341
gro,ita,aus,0.029444503
osd,ita,aus,0.077475592
pdr,lva,aus,2.58E-07
wht,lva,aus,2.55E-05
gro,lva,aus,0.000112769
osd,lva,aus,0.016070019
pdr,ltu,aus,9.42E-08
wht,ltu,aus,9.74E-05
gro,ltu,aus,4.01E-05
osd,ltu,aus,0.003551465
pdr,lux,aus,1.09E-06
wht,lux,aus,7.43E-05
gro,lux,aus,4.63E-05
osd,lux,aus,2.83E-06
pdr,mlt,aus,3.02E-07
wht,mlt,aus,0.000142179
gro,mlt,aus,2.22E-05
osd,mlt,aus,8.29E-07
pdr,nld,aus,9.96E-06
wht,nld,aus,0.000763242
gro,nld,aus,0.000338285
osd,nld,aus,0.787323952
pdr,pol,aus,4.55E-06
wht,pol,aus,0.006894743
gro,pol,aus,0.005989746
osd,pol,aus,0.001244539
pdr,prt,aus,8.66E-06
wht,prt,aus,0.000126705
gro,prt,aus,0.000201569
osd,prt,aus,0.000451999
pdr,rou,aus,1.41E-05
wht,rou,aus,0.002838942
gro,rou,aus,0.007452941
osd,rou,aus,0.000140482
pdr,svk,aus,1.71E-07
wht,svk,aus,0.000118382
gro,svk,aus,0.000116406
osd,svk,aus,0.000979565
pdr,svn,aus,1.32E-07
wht,svn,aus,2.80E-05
gro,svn,aus,3.29E-06
osd,svn,aus,0.074756958
pdr,esp,aus,1.65E-05
wht,esp,aus,0.001427735
gro,esp,aus,0.000681713
osd,esp,aus,0.074766271
pdr,swe,aus,5.15E-06
wht,swe,aus,0.002620125
gro,swe,aus,0.001035061
osd,swe,aus,0.000173236
pdr,gbr,aus,0.795004189
wht,gbr,aus,0.180516124
gro,gbr,aus,0.027668256
osd,gbr,aus,0.005706748
pdr,che,aus,3.14E-06
wht,che,aus,0.000276747
gro,che,aus,0.000258216
osd,che,aus,0.001201203
pdr,nor,aus,2.51E-06
wht,nor,aus,0.000277076
gro,nor,aus,0.001046595
osd,nor,aus,3.13E-05
pdr,xef,aus,7.66E-07
wht,xef,aus,0.000153742
gro,xef,aus,6.42E-05
osd,xef,aus,1.46E-05
pdr,alb,aus,1.59E-07
wht,alb,aus,0.000296455
gro,alb,aus,0.000103993
osd,alb,aus,0.000663495
pdr,srb,aus,3.54E-08
wht,srb,aus,3.08E-05
gro,srb,aus,2.88E-05
osd,srb,aus,5.73E-07
pdr,blr,aus,1.40E-06
wht,blr,aus,2.76E-05
gro,blr,aus,2.02E-05
osd,blr,aus,1.03E-05
pdr,rus,aus,1.06E-05
wht,rus,aus,0.006723657
gro,rus,aus,0.122681782
osd,rus,aus,0.042766944
pdr,ukr,aus,8.08E-07
wht,ukr,aus,0.000299202
gro,ukr,aus,0.130892545
osd,ukr,aus,0.557034433
pdr,xee,aus,3.59E-07
wht,xee,aus,0.000132772
gro,xee,aus,6.55E-05
osd,xee,aus,0.152560622
pdr,xer,aus,1.94E-06
wht,xer,aus,0.001183019
gro,xer,aus,0.001090196
osd,xer,aus,6.65E-05
pdr,kaz,aus,4.14E-07
wht,kaz,aus,0.000194638
gro,kaz,aus,7.97E-05
osd,kaz,aus,9.94E-07
pdr,kgz,aus,5.56E-06
wht,kgz,aus,0.000194387
gro,kgz,aus,0.001494858
osd,kgz,aus,1.47E-06
pdr,tjk,aus,6.01E-07
wht,tjk,aus,0.000168157
gro,tjk,aus,7.70E-05
osd,tjk,aus,9.93E-05
pdr,uzb,aus,2.52E-05
wht,uzb,aus,0.001167401
gro,uzb,aus,0.002317365
osd,uzb,aus,0.005371617
pdr,xsu,aus,4.78E-06
wht,xsu,aus,0.002246713
gro,xsu,aus,0.00091975
osd,xsu,aus,1.15E-05
pdr,arm,aus,5.60E-07
wht,arm,aus,7.64E-05
gro,arm,aus,0.000439814
osd,arm,aus,2.67E-05
pdr,aze,aus,0.000191578
wht,aze,aus,0.008854301
gro,aze,aus,0.004724389
osd,aze,aus,0.000339392
pdr,geo,aus,5.35E-07
wht,geo,aus,0.000218553
gro,geo,aus,0.001709933
osd,geo,aus,1.04E-06
pdr,bhr,aus,0.000215538
wht,bhr,aus,0.000146642
gro,bhr,aus,0.000532443
osd,bhr,aus,3.25E-06
pdr,irn,aus,0.008843209
wht,irn,aus,0.065622106
gro,irn,aus,0.019547857
osd,irn,aus,0.072506621
pdr,irq,aus,1.85E-08
wht,irq,aus,1.28E-09
gro,irq,aus,4.67E-09
osd,irq,aus,1.37E-10
pdr,isr,aus,1.06E-05
wht,isr,aus,0.000626168
gro,isr,aus,0.000918747
osd,isr,aus,0.099170327
pdr,jor,aus,4.30E-07
wht,jor,aus,0.001772127
gro,jor,aus,0.000451744
osd,jor,aus,5.58E-05
pdr,kwt,aus,1.39E-10
wht,kwt,aus,7.38E-09
gro,kwt,aus,5.30E-09
osd,kwt,aus,1.92E-10
pdr,lbn,aus,2.36E-07
wht,lbn,aus,0.010965084
gro,lbn,aus,1.00E-05
osd,lbn,aus,0.002441205
pdr,omn,aus,4.42E-06
wht,omn,aus,3.85E-05
gro,omn,aus,0.000261707
osd,omn,aus,5.35E-07
pdr,pse,aus,6.77E-08
wht,pse,aus,2.98E-05
gro,pse,aus,6.48E-06
osd,pse,aus,0.000182661
pdr,qat,aus,0.000203499
wht,qat,aus,0.000130317
gro,qat,aus,0.000277816
osd,qat,aus,2.53E-06
pdr,sau,aus,1.03E-06
wht,sau,aus,0.00157567
gro,sau,aus,0.000664943
osd,sau,aus,4.18E-06
pdr,syr,aus,5.70E-11
wht,syr,aus,1.74E-07
gro,syr,aus,1.27E-08
osd,syr,aus,3.12E-08
pdr,tur,aus,2.07E-05
wht,tur,aus,0.041507661
gro,tur,aus,0.002133687
osd,tur,aus,0.057807829
pdr,are,aus,2.73E-06
wht,are,aus,0.000215475
gro,are,aus,0.000108439
osd,are,aus,3.36E-06
pdr,xws,aus,7.19E-11
wht,xws,aus,2.19E-07
gro,xws,aus,1.61E-08
osd,xws,aus,3.94E-08
pdr,dza,aus,8.83E-10
wht,dza,aus,1.91E-06
gro,dza,aus,8.29E-07
osd,dza,aus,1.10E-08
pdr,egy,aus,0.001798718
wht,egy,aus,0.010834127
gro,egy,aus,0.002721216
osd,egy,aus,0.008563656
pdr,mar,aus,1.35E-05
wht,mar,aus,0.002493558
gro,mar,aus,0.000878489
osd,mar,aus,0.000602715
pdr,tun,aus,3.50E-08
wht,tun,aus,3.83E-06
gro,tun,aus,1.34E-05
osd,tun,aus,1.48E-07
pdr,xnf,aus,6.98E-08
wht,xnf,aus,3.14E-05
gro,xnf,aus,1.35E-05
osd,xnf,aus,2.33E-07
pdr,ben,aus,4.89E-09
wht,ben,aus,8.19E-09
gro,ben,aus,2.60E-06
osd,ben,aus,3.56E-07
pdr,bfa,aus,8.33E-07
wht,bfa,aus,1.11E-08
gro,bfa,aus,8.22E-06
osd,bfa,aus,1.83E-08
pdr,cmr,aus,6.37E-06
wht,cmr,aus,3.26E-06
gro,cmr,aus,0.001331918
osd,cmr,aus,3.95E-05
pdr,civ,aus,0.010039958
wht,civ,aus,0.001257734
gro,civ,aus,0.002905531
osd,civ,aus,0.001545337
pdr,gha,aus,0.01440789
wht,gha,aus,0.000430531
gro,gha,aus,0.062470209
osd,gha,aus,0.054556184
pdr,gin,aus,0.000340631
wht,gin,aus,8.42E-07
gro,gin,aus,0.002190515
osd,gin,aus,0.000172105
pdr,mli,aus,0.000465131
wht,mli,aus,0.000137012
gro,mli,aus,0.012708111
osd,mli,aus,0.000682591
pdr,ner,aus,0.001306673
wht,ner,aus,6.61E-05
gro,ner,aus,0.047019232
osd,ner,aus,0.004224056
pdr,nga,aus,4.23E-06
wht,nga,aus,1.09E-07
gro,nga,aus,7.87E-06
osd,nga,aus,0.693235099
pdr,sen,aus,1.07E-05
wht,sen,aus,1.58E-05
gro,sen,aus,0.002174677
osd,sen,aus,0.000680138
pdr,tgo,aus,1.49E-08
wht,tgo,aus,1.44E-08
gro,tgo,aus,8.20E-06
osd,tgo,aus,6.26E-09
pdr,xwf,aus,0.000764905
wht,xwf,aus,6.13E-05
gro,xwf,aus,0.01277771
osd,xwf,aus,0.002710612
pdr,caf,aus,0.000365217
wht,caf,aus,0.000692012
gro,caf,aus,0.000653576
osd,caf,aus,0.00311275
pdr,tcd,aus,0.002539022
wht,tcd,aus,0.001352247
gro,tcd,aus,0.010997742
osd,tcd,aus,0.009604375
pdr,cog,aus,3.11E-08
wht,cog,aus,1.28E-06
gro,cog,aus,2.43E-05
osd,cog,aus,9.15E-05
pdr,cod,aus,1.50E-06
wht,cod,aus,2.07E-07
gro,cod,aus,2.20E-05
osd,cod,aus,1.71E-05
pdr,gnq,aus,0.000222301
wht,gnq,aus,5.46E-05
gro,gnq,aus,0.000197336
osd,gnq,aus,1.23E-05
pdr,gab,aus,1.96E-10
wht,gab,aus,2.86E-09
gro,gab,aus,1.07E-07
osd,gab,aus,4.75E-08
pdr,xac,aus,0.000108558
wht,xac,aus,0.00446972
gro,xac,aus,0.084786311
osd,xac,aus,0.319472909
pdr,com,aus,2.28E-05
wht,com,aus,7.21E-07
gro,com,aus,1.59E-05
osd,com,aus,2.19E-06
pdr,eth,aus,6.04E-05
wht,eth,aus,0.016527938
gro,eth,aus,0.060010768
osd,eth,aus,0.225526184
pdr,ken,aus,1.43E-05
wht,ken,aus,0.000144657
gro,ken,aus,0.005073513
osd,ken,aus,0.003336787
pdr,mdg,aus,2.25E-10
wht,mdg,aus,8.89E-08
gro,mdg,aus,3.32E-07
osd,mdg,aus,1.56E-06
pdr,mwi,aus,0.003809073
wht,mwi,aus,2.06E-05
gro,mwi,aus,0.007662412
osd,mwi,aus,0.017439775
pdr,mus,aus,2.12E-06
wht,mus,aus,0.000150945
gro,mus,aus,7.94E-05
osd,mus,aus,2.91E-05
pdr,moz,aus,9.08E-08
